"_","Id","GT_ShopCode__c","Name","Address","PostalCode","Address.city","Address.country","Address.geocodeAccuracy","Address.latitude","Address.longitude","Address.postalCode","Address.state","Address.street"
"[ServiceTerritory]","0Hh67000000oO5NCAU","227","CORDOBA - JESUS RESCATADO","[object Object]","14007","CORDOBA","Spain","Address","37.89087","-4.76278","14007","ES","AV JESUS RESCATADO, 5 - ANDALUCIA"
"[ServiceTerritory]","0Hh67000000oO5SCAU","225","VILLANUEVA DE LA SERENA","[object Object]","06700","VILLANUEVA DE LA SERENA","Spain","Address","38.97343","-5.7951","06700","ES","AV SAN FRANCISCO , 39 A - EXTREMADURA"
"[ServiceTerritory]","0Hh67000000oO5XCAU","200","LA ESTRADA","[object Object]","36680","LA ESTRADA","Spain","Block","42.689839","-8.488675","36680","ES","CL CALVO SOTELO, 36, BAJO - GALICIA"
"[ServiceTerritory]","0Hh67000000oOwZCAU","248","BARBERA DEL VALLES","[object Object]","08210","BARBERA DEL VALLES","Spain","Address","41.51514","2.12443","08210","ES","PS DR. MORAGAS, 179, LOCAL - CATALUÑA"
"[ServiceTerritory]","0Hh67000000oOwUCAU","240","A CORUÑA - BARCELONA","[object Object]","15010","A CORUÑA","Spain","Block","43.360981","-8.420523","15010","ES","CL BARCELONA, 31, BAJO DERECHA - GALICIA"
"[ServiceTerritory]","0Hh67000000oPF7CAM","251","AZUQUECA DE HENARES","[object Object]","19200","AZUQUECA DE HENARES","Spain","Address","40.56836","-3.2638","19200","ES","PZ GENERAL VIVES, 17 - ESQ. CL ERMITA, 2 - CASTILLA LA MANCHA"
"[ServiceTerritory]","0Hh67000000oPFCCA2","252","SANXENXO","[object Object]","36960","SANXENXO","Spain","Street","42.399555","-8.822235","36960","ES","CL PROGRESO, 70 - DELANTE PZ MEDICO CARLOS ROMAI, 66 - GALICIA"
"[ServiceTerritory]","0Hh67000000sZwSCAU","244","VALENCIA - MANUEL CANDELA 2*","[object Object]","46021","VALENCIA","Spain","Block","39.47129","-0.348763","46021","ES","CL MANUEL CANDELA, 60 - C VALENCIANA"
"[ServiceTerritory]","0Hh67000000oPF2CAM","250","CASTRILLON","[object Object]","33450","CASTRILLON","Spain","Address","43.56133","-5.9746","33450","ES","AV ALCALDE JOSE FERNANDIN, 18, BAJOS (PIEDRAS BLANCAS) - ASTURIAS"
"[ServiceTerritory]","0Hh67000000oPExCAM","249","PONTEAREAS","[object Object]","36860","PONTEAREAS","Spain","Address","42.17419","-8.50476","36860","ES","PZ BUGALLAL, 6, BAJOS 1 - ESQ. CL MORALES HIDALGO, 1 - GALICIA"
"[ServiceTerritory]","0Hh67000000oO5DCAU","199","GRANADA - DILAR","[object Object]","18007","GRANADA","Spain","Address","37.15786","-3.59993","18007","ES","AV DE DILAR, 45, LOCAL IZQ. - ANDALUCIA"
"[ServiceTerritory]","0Hh67000000oNwSCAU","C83","QUART DE POBLET-BARRANQUET","[object Object]","46930","QUART DE POBLET","Spain","Block","39.482942","-0.447428","46930","ES","CL BARRANQUET, 2 - C VALENCIANA"
"[ServiceTerritory]","0Hh67000000oPDuCAM","","Overbooking Fake Shop ES","[object Object]","","","Spain","","","","","ES",""
"[ServiceTerritory]","0Hh67000000oPHNCA2","228","PINTO","[object Object]","28320","PINTO","Spain","Address","40.24217","-3.69839","28320","ES","PS DE DOLORES SORIA, 2 - ESQ. CL DEL MARQUES, 1 - MADRID"
"[ServiceTerritory]","0Hh67000000oPogCAE","255","AMES","[object Object]","15220","AMES","Spain","Block","42.859445","-8.652487","15220","ES","TR DE LA PEREGRINA, 2, LOCAL (EDIFICIO LECER)  BERTAMIRANS - GALICIA"
"[ServiceTerritory]","0Hh67000000oPobCAE","262","ZALLA","[object Object]","48860","ZALLA","Spain","Address","43.21414","-3.13519","48860","ES","CL URB. TEPEYAC, 6, BAJO 2 - PAIS VASCO"
"[ServiceTerritory]","0Hh67000000oPiYCAU","237","ROJALES","[object Object]","03170","ROJALES","Spain","Block","38.085924","-0.727372","03170","ES","CL CORTES VALENCIANAS, 38, LOCAL 1 - C. VALENCIANA"
"[ServiceTerritory]","0Hh67000000oPovCAE","253","MAZARRON","[object Object]","30870","MAZARRON","Spain","Block","37.598204","-1.313135","30870","ES","AV DE LA CONSTITUCION, 119  - EDIFICIO SAN FRANCISCO - MURCIA"
"[ServiceTerritory]","0Hh67000000TSVpCAO","254","MONTILLA","[object Object]","14550","MONTILLA","Spain","Address","37.58318","-4.64336","14550","ES","AV ANDALUCIA, 20, LOCAL 2 - ANDALUCIA"
"[ServiceTerritory]","0Hh67000000TSW4CAO","256","COLMENAR VIEJO","[object Object]","28770","COLMENAR VIEJO","Spain","Address","40.66305","-3.76875","28770","ES","CL SAN SEBASTIAN, 15, LOCAL  - MADRID"
"[ServiceTerritory]","0Hh67000000TSVzCAO","259","JUMILLA","[object Object]","30520","JUMILLA","Spain","Block","38.474438","-1.324374","30520","ES","AV LEVANTE, 43, BAJO, LOCAL 6 - MURCIA"
"[ServiceTerritory]","0Hh67000000TSVuCAO","257","LAGUNA DE DUERO","[object Object]","47140","LAGUNA DE DUERO","Spain","Block","41.571414","-4.714432","47140","ES","AV MADRID, 40 (ANTES 28), LOCAL - CASTILLA Y LEON"
"[ServiceTerritory]","0Hh67000000TSdKCAW","263","ARTEIXO","[object Object]","15142","ARTEIXO","Spain","Address","43.30553","-8.50906","15142","ES","AV FISTERRA, 179 (ESQ. CL DE FOZ, 1) - GALICIA"
"[ServiceTerritory]","0Hh67000000TSdeCAG","261","MANZANARES","[object Object]","13200","MANZANARES","Spain","Address","39.00042","-3.36895","13200","ES","CL PADRES CAPUCHINOS, 2, LOCAL 2 - CASTILLA LA MANCHA"
"[ServiceTerritory]","0Hh67000000TSdjCAG","258","TOMELLOSO","[object Object]","13700","TOMELLOSO","Spain","Address","39.15783","-3.02177","13700","ES","CL DON VICTOR PEÑASCO, 1, LOCAL DERECHA - CASTILLA LA MANCHA"
"[ServiceTerritory]","0Hh67000000TSz5CAG","264","SITGES","[object Object]","08870","SITGES","Spain","Block","41.237867","1.811904","08870","ES","CL JESUS, 66 - CATALUÑA"
